,variety,description,points,price
335,Monastrell-Syrah,21,86.23809523809524,18.761904761904763
336,Mondeuse,13,87.3076923076923,25.846153846153847
337,Monica,4,86.5,16.0
338,Montepulciano,200,86.88,25.48
339,Morava,1,87.0,26.0
340,Morillon,6,89.5,31.0
341,Morio Muskat,2,87.0,17.0
342,Moscadello,3,89.33333333333333,40.0
343,Moscatel,47,88.46808510638297,36.851063829787236
344,Moscatel Graúdo,2,87.5,13.0
345,Moscatel Roxo,4,89.25,22.0
346,Moscatel de Alejandría,3,85.33333333333333,18.666666666666668
347,Moscato,274,86.65328467153284,18.01094890510949
348,Moscato Giallo,13,87.15384615384616,22.53846153846154
349,Moscato Rosa,2,90.0,33.5
350,Moscato di Noto,1,92.0,40.0
351,Moschofilero,35,88.17142857142858,15.142857142857142
352,Moschofilero-Chardonnay,1,85.0,13.0
353,Mourvèdre,226,89.26991150442478,35.07079646017699
354,Mourvèdre-Syrah,3,91.0,43.666666666666664
355,Mtsvane,3,88.0,17.666666666666668
356,Muscadel,1,88.0,30.0
357,Muscadelle,4,90.25,37.5
358,Muscadine,2,85.5,22.5
359,Muscat,106,88.31132075471699,23.754716981132077
360,Muscat Blanc,12,88.41666666666667,21.0
361,Muscat Blanc à Petits Grains,1,87.0,20.0
362,Muscat Canelli,34,87.41176470588235,19.470588235294116
363,Muscat Hamburg,2,88.0,22.0
364,Muscat d'Alexandrie,6,86.66666666666667,19.166666666666668
365,Muscatel,3,87.33333333333333,17.666666666666668
366,Muskat,3,89.0,18.0
367,Muskat Ottonel,21,86.23809523809524,14.80952380952381
368,Muskateller,5,86.8,26.0
369,Müller-Thurgau,43,86.86046511627907,20.348837209302324
370,Narince,7,87.14285714285714,21.285714285714285
371,Nascetta,4,87.75,27.0
372,Nasco,2,90.5,37.5
373,Nebbiolo,2331,90.33118833118833,65.6096096096096
374,Negrette,16,87.625,20.5625
375,Negroamaro,73,86.71232876712328,19.027397260273972
376,Nerello Cappuccio,6,89.83333333333333,36.833333333333336
377,Nerello Mascalese,105,89.71428571428571,40.49523809523809
378,Nero d'Avola,326,87.50920245398773,23.334355828220858
379,Nero di Troia,18,87.77777777777777,28.444444444444443
380,Neuburger,7,90.71428571428571,24.714285714285715
381,Nielluciu,3,89.0,23.333333333333332
382,Norton,13,84.07692307692308,27.0
383,Nosiola,8,88.125,30.875
384,Nuragus,3,88.33333333333333,16.0
385,Okuzgozu,8,89.5,23.875
386,Ondenc,1,90.0,15.0
387,Orange Muscat,16,88.125,20.3125
388,Orangetraube,1,90.0,22.0
389,Pallagrello,9,87.77777777777777,35.77777777777778
390,Pallagrello Bianco,5,87.6,31.6
391,Pallagrello Nero,5,87.8,41.0
392,Pansa Blanca,14,85.57142857142857,17.785714285714285
393,Papaskarasi,3,86.66666666666667,21.333333333333332
394,Paralleda,1,83.0,11.0
395,Parraleta,1,86.0,14.0
396,Passerina,19,85.94736842105263,16.473684210526315
397,País,1,83.0,18.0
398,Pecorino,45,87.28888888888889,19.77777777777778
399,Pedro Ximénez,25,89.08,29.84
400,Perricone,7,88.71428571428571,27.285714285714285
401,Petit Courbu,1,88.0,19.0
402,Petit Manseng,50,89.52,30.9
403,Petit Verdot,264,88.3219696969697,39.67424242424242
404,Petite Sirah,767,88.19817470664928,31.473272490221643
405,Petite Verdot,30,88.63333333333334,45.0
406,Picapoll,1,82.0,21.0
407,Picolit,22,91.5,70.0909090909091
408,Picpoul,17,87.82352941176471,20.470588235294116
409,Piedirosso,12,87.16666666666667,21.416666666666668
410,Pigato,2,84.0,23.0
411,Pignoletto,3,83.66666666666667,16.333333333333332
412,Pignolo,1,92.0,70.0
413,Pinot Auxerrois,10,87.5,27.1
414,Pinot Blanc,522,88.04980842911877,21.8639846743295
415,Pinot Blanc-Chardonnay,2,88.0,22.0
416,Pinot Blanc-Pinot Noir,1,85.0,16.0
417,Pinot Blanc-Viognier,1,87.0,19.0
418,Pinot Gris,2371,87.59215520877267,20.371151412905945
419,Pinot Gris-Gewürztraminer,1,90.0,20.0
420,Pinot Gris-Sauvignon Blanc,1,87.0,35.0
421,Pinot Meunier,29,88.55172413793103,35.41379310344828
422,Pinot Noir,12783,89.41578659156693,47.518735821012285
423,Pinot Noir-Gamay,16,85.875,18.9375
424,Pinot Noir-Syrah,3,88.0,38.666666666666664
425,Pinot-Chardonnay,5,89.4,30.4
426,Pinotage,132,87.24242424242425,24.401515151515152
427,Pinotage-Merlot,1,84.0,10.0
428,Piquepoul Blanc,1,88.0,13.0
429,Plavac Mali,17,87.58823529411765,34.0
430,Plyto,2,87.0,19.5
431,Port,304,90.85526315789474,77.70723684210526
432,Portuguese Red,2192,88.87089416058394,24.842153284671532
433,Portuguese Rosé,11,84.72727272727273,17.09090909090909
434,Portuguese Sparkling,27,86.51851851851852,21.555555555555557
435,Portuguese White,979,86.95505617977528,15.338100102145045
